"FRONTEND_MC_PM_CARDSSAVED", "Kreditkarte"
"FRONTEND_PM_CC", "Kreditkarte"
"FRONTEND_MC_PM_DDSAVED", "Lastschrift"
"FRONTEND_PM_DD", "Lastschrift"
"FRONTEND_PM_GIROPAY", "Giropay"
"FRONTEND_PM_KLARNAPAYLATER", "Rechnung."
"FRONTEND_PM_KLARNASLICEIT", "Ratenkauf."
"FRONTEND_PM_PAYDIREKT", "paydirekt"
"FRONTEND_MC_PM_PAYPALSAVED", "PayPal"
"FRONTEND_PM_PAYPAL", "PayPal"
"FRONTEND_PM_KLARNAOBT", "Sofort."
"FRONTEND_PM_EASYCREDIT", "easyCredit-Ratenkauf"
"FRONTEND_PM_ENTERPAY", "Kauf auf Rechnung TEBA Pay"

"FRONTEND_TT_KLARNAPAYLATER", "Rechnung: In 14 Tagen bezahlen"
"FRONTEND_TT_KLARNASLICEIT", "Flexibler Ratenkauf"
"FRONTEND_TT_KLARNASLICEIT_FLEXIBEL", "Flexibel - In Ihrem eigenen Tempo bezahlen"
"FRONTEND_TT_KLARNASLICEIT_INTEREST", "Sollzinssatz : %1 %"
"FRONTEND_TT_KLARNASLICEIT_MONTHLY_FEE", "Ratenkaufgebühr : %1 / Monat"
"FRONTEND_TT_KLARNASLICEIT_MONTHLY_PAY", "Monatliche Mindestrate für diesen Einkauf : %1 / Monat"
"FRONTEND_TT_KLARNA_TERM1", "Mit der Übermittlung der für die Abwicklung der gewählten Klarna Zahlungsmethode und einer Identitätsund Bonitätsprüfung erforderlichen Daten an Klarna bin ich einverstanden. Meine"
"FRONTEND_TT_KLARNA_TERM2", "kann ich jederzeit mit Wirkung für die Zukunft widerrufen."

"ERROR_EASYCREDIT_FUTURE_DOB", "Das Geburtsdatum sollte nicht in der Zukunft liegen"
"ERROR_EASYCREDIT_PARAMETER_DOB", "Bitte geben Sie Ihr Geburtsdatum an, um easyCredit nutzen zu können."
"ERROR_MESSAGE_EASYCREDIT_AMOUNT_NOTALLOWED", "Der Finanzierungsbetrag liegt außerhalb der zulässigen Beträge (200 - 10.000 EUR)."
"ERROR_EASYCREDIT_BILLING_NOTEQUAL_SHIPPING", "Um mit easyCredit bezahlen zu können, muss die Lieferadresse mit der Rechnungsadresse übereinstimmen."
"ERROR_MESSAGE_EASYCREDIT_BEFORE_PAYMENT", "Please make sure your payment method is correct!"
"ERROR_MESSAGE_EASYCREDIT_PARAMETER_GENDER", "Bitte geben Sie Ihr Geschlecht an um die Zahlung mit easyCredit durchzuführen"

"FRONTEND_CC_HELP", "Hilfe"
"FRONTEND_CC_CVCHELP", "Was ist die Kartenprüfnummer?"
"FRONTEND_TT_CVC", "Der Sicherheitscode Ihrer Karte besteht aus den letzten drei Ziffern oberhalb des Unterschriftsfeldes auf der Rückseite Ihrer Karte."
"FRONTEND_TT_CVCAMEX", "Bei American Express finden Sie den vierstelligen Sicherheitscode auf der Vorderseite Ihrer Karte oberhalb der Kartennummer."

"VRPAYECOMMERCE_BACKEND_GENERAL_TITLE", "VR pay eCommerce"
"BACKEND_CH_GENERAL", "Allgemeine Einstellungen"
"BACKEND_GENERAL_PAYMENT_METHODS", "Payment Methods"
"BACKEND_PM_CC_SAVED", "Kreditkarte (Recurring)"
"BACKEND_PM_CC", "Kreditkarte"
"BACKEND_PM_DD_SAVED", "Lastschrift (Recurring)"
"BACKEND_PM_DD", "Lastschrift"
"BACKEND_PM_GIROPAY", "Giropay"
"BACKEND_PM_KLARNA_PAYLATER", "Rechnung."
"BACKEND_PM_KLARNA_SLICEIT", "Ratenkauf."
"BACKEND_PM_PAYDIREKT", "paydirekt"
"BACKEND_PM_PAYPALSAVED","PayPal (Recurring)"
"BACKEND_PM_PAYPAL", "PayPal"
"BACKEND_PM_SOFORTBANK", "Online Bank Transfer."
"BACKEND_PM_EASYCREDIT", "easyCredit-Ratenkauf"
"BACKEND_PM_ENTERPAY", "Kauf auf Rechnung TEBA Pay"

"BACKEND_CH_ACTIVE","Aktiviert"
"BACKEND_CH_SERVER", "Server"
"BACKEND_CH_MODE", "Transaktions-Modus"
"BACKEND_CH_CAPTURE_ORDER", "Capture bei Bestellstatus"
"BACKEND_CH_CARDS", "Kartenarten"
"BACKEND_CH_MULTICHANNEL", "Multi-Kanal"
"BACKEND_CH_CHANNEL","Entity-ID"
"BACKEND_CH_MOTO", "Entity-ID MOTO"
"BACKEND_CH_BEARER", "Auth-Token"
"BACKEND_CH_LOGIN", "User-ID"
"BACKEND_CH_PASSWORD", "Passwort"
"BACKEND_CH_PAYMENT_IS_PARTIAL", "Anteiliger Capture oder anteiliger Refund"
"BACKEND_CH_MINIMUM_AGE", "Mindestalter"
"BACKEND_CH_COUNTRIES", "Erlaubte Länder"
"BACKEND_CH_COUNTRIESSPEC", "Bestimmte Länder"
"BACKEND_CH_ORDER", "Reihenfolge"
"BACKEND_CH_AMOUNT","Betrag für Registrierung"
"BACKEND_CH_RECURRING", "Recurring"
"BACKEND_CH_KLARNAPCLASS", "Ratenplan (PCLASS)"
